table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
view_inspec_result,no,4,10,4,0.0,0,0,8001,1,129,874.87,765391.87
view_inspec_result,no,4,10,4,0.0,0,0,8001,1,129,874.87,765391.87
view_inspec_result,input_date,12,20,20,,1,0,10,10,10,0.0,0.0
view_inspec_result,doc_inspec,12,20,20,,1,0,6,0,5,1.01,1.03
view_inspec_result,item_code,4,10,4,0.0,1,0,99999,1001,1509,6010.42,36125097.13
view_inspec_result,inspec_name,12,20,20,,1,0,6,6,6,0.0,0.0
view_inspec_result,testresult,12,100,100,,1,0,16,1,4,2.46,6.07
view_inspec_result,units,12,10,10,,1,0,8,0,2,2.4,5.74
view_inspec_result,ranges,12,30,30,,1,0,11,0,4,3.37,11.37
view_inspec_result,units,12,10,10,,1,0,8,0,2,2.4,5.74
view_inspec_result,instrument,12,20,20,,0,0,17,5,6,2.03,4.12
