table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_RYJL,YLJGZZJGDM,12,20,20,,1,0,12,12,12,0.0,0.0
EMR_RYJL,ZYH,12,10,10,,0,0,8,8,8,0.0,0.0
EMR_RYJL,ZYH,12,10,10,,0,0,8,8,8,0.0,0.0
EMR_RYJL,KSMC,12,20,20,,1,0,6,4,5,0.49,0.24
EMR_RYJL,KSDM,1,4,4,,0,0,4,4,4,0.0,0.0
EMR_RYJL,RYRQSJ,11,23,16,3.0,1,0,8,8,8,0.0,0.0
EMR_CYXJ,CYRQSJ,11,23,16,3.0,1,0,8,8,8,0.0,0.0
EMR_ZYZD,ZDRQ,11,23,16,3.0,1,0,8,8,8,0.0,0.0
EMR_ZYZD,ZYZDMC,12,50,50,,1,0,46,2,15,7.49,56.16
EMR_ZYBA_SSJL,SSCZBM,12,10,10,,0,0,10,0,5,2.49,6.19
EMR_RYJL,ZYYSGH,12,50,50,,1,0,4,4,4,0.0,0.0
EMR_RYJL,ZYYSQM,12,20,20,,1,0,8,4,6,1.3,1.69
