table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_ZYYZ,YLJGZZJGDM,12,20,20,,1,0,12,12,12,0.0,0.0
EMR_ZYYZ,YZBH,12,28,28,,1,0,15,14,14,0.43,0.19
EMR_ZYYZ,ZYH,12,10,10,,0,0,8,8,8,0.0,0.0
EMR_ZYYZ,XM,12,50,50,,1,0,10,4,5,0.61,0.38
EMR_ZYYZ,XB,1,1,1,,1,0,1,1,1,0.0,0.0
EMR_ZYYZ,BQMC,12,20,20,,1,0,6,4,5,0.55,0.3
EMR_ZYYZ,KSDM,1,4,4,,0,0,4,4,4,0.0,0.0
EMR_ZYYZ,KSMC,12,20,20,,1,0,6,4,5,0.55,0.3
EMR_ZYYZ,YZKLZGH,12,8,8,,1,0,4,4,4,0.0,0.0
EMR_ZYYZ,YZKLZQM,12,20,20,,1,0,6,4,5,0.4,0.16
EMR_ZYYZ,YZKLRQSJ,11,23,16,3.0,1,0,8,8,8,0.0,0.0
EMR_ZYYZ,ZXYZZGH,12,8,8,,1,0,4,0,3,0.26,0.07
EMR_ZYYZ,ZXYZZQM,12,20,20,,1,0,7,4,5,0.57,0.33
EMR_ZYYZ,YZZXRQSJ,11,23,16,3.0,1,0,8,8,8,0.0,0.0
EMR_ZYYZ,YZTZRQSJ,11,23,16,3.0,1,0,8,8,8,0.0,0.0
z_yz,yzlr,-1,2147483647,2147483647,,0,0,138,0,20,12.57,157.89
EMR_ZYZD,ZDLX,12,1,1,,0,0,1,1,1,0.0,0.0
z_yz,pcms,12,16,16,,1,0,16,0,11,7.37,54.35
z_yz,dwjl,3,12,14,2.0,0,0,1.00,0.00,0.940000,0.24,0.06
z_yz,dwsl,4,10,4,0.0,1,0,1,1,1,0.0,0.0
z_yz,dj,3,12,14,4.0,0,0,900.0000,0.0000,12.290000,42.53,1808.95
