data_type,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
4,0,0,8001.0,1.0,112.0,688.38,473869.23
12,1,0,10.0,10.0,10.0,0.0,0.0
12,1,0,8.0,4.0,5.0,0.54,0.29
12,1,0,2.0,0.0,1.0,0.12,0.01
12,1,0,2.0,0.0,1.0,0.35,0.12
12,1,0,8.0,0.0,5.0,1.08,1.16
12,1,0,3.0,0.0,2.0,1.37,1.88
12,1,0,13.0,0.0,12.0,1.99,3.96
12,1,0,14.0,0.0,5.0,2.09,4.38
12,1,0,4.0,0.0,2.0,0.05,0.0
12,1,0,10.0,0.0,5.0,1.21,1.45
12,1,0,8.0,0.0,5.0,1.08,1.16
11,1,0,8.0,8.0,8.0,0.0,0.0
11,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,10.0,10.0,10.0,0.0,0.0
12,1,0,4.0,0.0,2.0,0.05,0.0
12,1,0,10.0,0.0,5.0,1.21,1.45
12,1,0,4.0,0.0,2.0,0.05,0.0
12,1,0,10.0,0.0,5.0,1.21,1.45
12,1,0,13.0,0.0,1.0,3.9,15.2
12,1,0,10.0,0.0,4.0,0.81,0.66
4,0,0,8001.0,1.0,129.0,874.87,765391.87
12,1,0,10.0,10.0,10.0,0.0,0.0
12,1,0,6.0,0.0,5.0,1.01,1.03
4,1,0,99999.0,1001.0,1509.0,6010.42,36125097.13
12,1,0,6.0,6.0,6.0,0.0,0.0
12,1,0,16.0,1.0,4.0,2.46,6.07
12,1,0,8.0,0.0,2.0,2.4,5.74
12,1,0,11.0,0.0,4.0,3.37,11.37
12,1,0,8.0,0.0,2.0,2.4,5.74
12,0,0,17.0,5.0,6.0,2.03,4.12
12,1,0,2.0,1.0,1.0,0.35,0.12
12,1,0,3.0,3.0,3.0,0.0,0.0
12,0,0,7.0,7.0,7.0,0.0,0.0
12,1,0,35.0,4.0,13.0,5.58,31.16
12,1,0,4.0,4.0,4.0,0.0,0.0
12,0,0,12.0,12.0,12.0,0.0,0.0
12,1,0,8.0,0.0,7.0,0.99,0.97
12,1,0,8.0,8.0,8.0,0.0,0.0
12,0,0,2.0,2.0,2.0,0.0,0.0
12,0,0,12.0,12.0,12.0,0.0,0.0
12,1,0,9.0,0.0,7.0,0.72,0.52
12,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,2.0,1.0,1.0,0.34,0.12
12,1,0,4.0,0.0,3.0,0.01,0.0
12,1,0,5.0,0.0,4.0,0.44,0.2
11,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,40.0,1.0,5.0,0.69,0.47
1,1,0,1.0,1.0,1.0,0.0,0.0
12,1,0,2.0,1.0,1.0,0.5,0.25
2,0,0,72640.0,-72000.0,87.52,251.13,63064.31
12,1,0,4.0,0.0,3.0,0.52,0.27
1,0,0,8.0,8.0,8.0,0.0,0.0
12,1,0,8.0,8.0,8.0,0.0,0.0
12,0,0,2.0,2.0,2.0,0.0,0.0
11,0,0,8.0,8.0,8.0,0.0,0.0
1,1,0,2.0,2.0,2.0,0.0,0.0
1,1,0,1.0,1.0,1.0,0.0,0.0
12,0,0,40.0,1.0,5.0,0.7,0.49
1,1,0,1.0,1.0,1.0,0.0,0.0
11,1,0,8.0,8.0,8.0,0.0,0.0
1,1,0,4.0,4.0,4.0,0.0,0.0
1,1,0,6.0,6.0,6.0,0.0,0.0
2,0,0,11.0,-11.0,2.56,1.83,3.33
2,0,0,2.0,0.0,0.0,0.0,0.0
12,1,0,10.0,10.0,10.0,0.0,0.0
1,0,0,8.0,8.0,8.0,0.0,0.0
12,1,0,8.0,8.0,8.0,0.0,0.0
1,1,0,8.0,8.0,8.0,0.0,0.0
12,0,0,12.0,1.0,2.0,3.07,9.44
11,0,0,8.0,8.0,8.0,0.0,0.0
2,1,0,6000.0,-912.56,40.69,79.02,6243.79
2,1,0,6000.0,-912.56,40.69,79.02,6243.79
12,0,0,12.0,8.0,9.0,1.94,3.76
12,1,0,120.0,0.0,13.0,6.72,45.15
12,1,0,9.0,1.0,6.0,1.37,1.88
12,1,0,4.0,1.0,3.0,0.34,0.12
12,1,0,40.0,1.0,5.0,0.7,0.49
11,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,73.0,2.0,11.0,5.88,34.52
1,1,0,8.0,8.0,8.0,0.0,0.0
11,0,0,8.0,8.0,8.0,0.0,0.0
12,1,0,10.0,10.0,10.0,0.0,0.0
12,1,0,38.0,4.0,17.0,6.26,39.23
2,0,0,520.0,0.24,20.7,32.76,1073.25
2,0,0,10.0,1.0,1.1,0.4,0.16
2,0,0,520.0,0.78,22.45,34.1,1162.48
2,0,0,520.0,0.78,22.45,34.1,1162.48
12,1,0,12.0,12.0,12.0,0.0,0.0
12,0,0,8.0,8.0,8.0,0.0,0.0
1,0,0,4.0,4.0,4.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.47,0.23
11,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,46.0,4.0,17.0,7.36,54.18
12,1,0,4.0,4.0,4.0,0.0,0.0
12,1,0,8.0,4.0,6.0,1.35,1.83
12,1,0,12.0,12.0,12.0,0.0,0.0
12,0,0,8.0,8.0,8.0,0.0,0.0
12,1,0,10.0,4.0,5.0,0.66,0.44
1,1,0,1.0,1.0,1.0,0.0,0.0
12,1,0,4.0,4.0,4.0,0.0,0.0
12,1,0,8.0,4.0,6.0,1.3,1.69
12,1,0,4.0,4.0,4.0,0.0,0.0
12,1,0,8.0,4.0,6.0,1.3,1.69
1,0,0,4.0,4.0,4.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.49,0.24
12,1,0,8.0,2.0,6.0,0.85,0.72
12,1,0,46.0,2.0,15.0,7.49,56.16
11,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,12.0,12.0,12.0,0.0,0.0
12,0,0,8.0,8.0,8.0,0.0,0.0
11,0,0,8.0,8.0,8.0,0.0,0.0
2,0,0,25534.77,0.0,4791.54,3266.47,10669813.61
2,1,0,25534.77,0.0,2404.54,1916.55,3673162.21
2,1,0,11058.33,0.0,2379.12,2080.29,4327592.69
12,1,0,12.0,12.0,12.0,0.0,0.0
12,0,0,8.0,8.0,8.0,0.0,0.0
12,1,0,8.0,4.0,5.0,0.68,0.47
1,0,0,4.0,4.0,4.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.49,0.24
1,0,0,4.0,4.0,4.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.47,0.23
11,1,0,8.0,8.0,8.0,0.0,0.0
11,1,0,8.0,8.0,8.0,0.0,0.0
12,1,0,12.0,12.0,12.0,0.0,0.0
12,1,0,15.0,14.0,14.0,0.43,0.19
12,0,0,8.0,8.0,8.0,0.0,0.0
12,1,0,10.0,4.0,5.0,0.61,0.38
1,1,0,1.0,1.0,1.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.55,0.3
1,0,0,4.0,4.0,4.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.55,0.3
12,1,0,4.0,4.0,4.0,0.0,0.0
12,1,0,6.0,4.0,5.0,0.4,0.16
11,1,0,8.0,8.0,8.0,0.0,0.0
