data_type,nullable,primary_key,max,min,avg,stddev,varience
1,0,0,12.0,12.0,12.0,0.0,0.0
1,0,0,8.0,8.0,8.0,0.0,0.0
1,0,0,25.0,3.0,5.8,0.74,0.55
1,0,0,1.0,1.0,1.0,0.0,0.0
1,0,0,6.0,3.0,3.91,0.29,0.08
1,0,0,5.0,4.0,4.0,0.02,0.0
1,0,0,6.0,4.0,5.68,0.73,0.53
1,0,0,5.0,4.0,4.0,0.02,0.0
1,0,0,6.0,4.0,5.68,0.73,0.53
1,0,0,19.0,4.0,9.33,3.44,11.87
3,0,0,7.0,7.0,7.0,0.0,0.0
3,0,0,7.0,7.0,7.0,0.0,0.0
3,0,0,7.0,7.0,7.0,0.0,0.0
1,0,0,4.0,4.0,4.0,0.0,0.0
1,0,0,8.0,4.0,5.86,0.96,0.92
1,0,0,4.0,4.0,4.0,0.0,0.0
1,0,0,8.0,4.0,5.86,0.96,0.92
1,0,0,4.0,4.0,4.0,0.0,0.0
1,0,0,10.0,4.0,4.04,0.45,0.2
1,1,0,5.0,1.0,1.94,0.55,0.3
1,1,0,19.0,4.0,9.08,3.2,10.24
1,0,0,8.0,8.0,8.0,0.0,0.0
1,0,0,12.0,12.0,12.0,0.0,0.0
3,0,0,7.0,7.0,7.0,0.0,0.0
1,0,0,8.0,4.0,5.99,0.99,0.98
1,0,0,19.0,1.0,3.7,1.45,2.09
1,0,0,44.0,1.0,10.98,4.42,19.53
2,0,0,695000000.0,-27.04,4080.13,1263346.0,1.59604311126e+12
1,0,0,11.0,1.0,3.36,2.11,4.45
1,0,0,240.0,1.0,7.68,10.77,115.98
1,0,0,8.0,2.0,5.43,1.11,1.24
1,1,0,11.0,1.0,3.36,2.11,4.45
1,0,0,12.0,12.0,12.0,0.0,0.0
1,0,0,4.0,3.0,3.96,0.19,0.03
1,0,0,6.0,3.0,3.01,0.15,0.02
1,0,0,18.0,1.0,9.14,2.96,8.78
1,0,0,4.0,1.0,3.87,0.61,0.37
