,data_type,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience,table_name,column_name
150,2,0,0,1.0,0.0,0.0,0.24,0.06,TB_ZY_ZYYZMX,JL
64,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_GHMXB,XB
52,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_CFZB,HZXB
148,1,0,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_ZYYZMX,YZLB
136,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_ZYYZMX,XB
151,2,1,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_ZYYZMX,MCSL
107,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_ZY_RYDJB,XB
62,1,1,0,1.0,1.0,1.0,0.0,0.0,TB_MZ_GHMXB,SFJZ
53,1,1,0,2.0,1.0,1.0,0.5,0.25,TB_MZ_CFZB,FB
32,1,1,0,2.0,1.0,1.0,0.35,0.12,TB_LIS_YMJG,BGDH
45,1,1,0,2.0,1.0,1.0,0.34,0.12,TB_MZ_CFZB,CFLX
61,1,1,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_GHMXB,GHLB
71,2,0,0,2.0,0.0,0.0,0.0,0.0,TB_MZ_GHMXB,ZLF
4,1,1,0,2.0,0.0,1.0,0.35,0.12,TB_LIS_JYBG,BRNL
3,1,1,0,2.0,0.0,1.0,0.12,0.01,TB_LIS_JYBG,BRXB
44,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_CFZB,KLX
75,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_JSB,KLX
40,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_CFMX,KLX
59,1,0,0,2.0,2.0,2.0,0.0,0.0,TB_MZ_GHMXB,KLX
6,1,1,0,3.0,0.0,2.0,1.37,1.88,TB_LIS_JYBG,CH
33,1,1,0,3.0,3.0,3.0,0.0,0.0,TB_LIS_YMJG,XJDH
100,1,1,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_CYDJB,ZYYSGH
36,1,1,0,4.0,4.0,4.0,0.0,0.0,TB_LIS_YMJG,JCJG
55,1,1,0,4.0,0.0,3.0,0.52,0.27,TB_MZ_CFZB,ZXKSBM
108,1,1,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_RYDJB,MZYSGH
47,1,1,0,4.0,0.0,3.0,0.01,0.0,TB_MZ_CFZB,JZKSMC
112,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_RYDJB,RYKSBM
56,1,1,0,4.0,0.0,3.0,0.52,0.27,TB_MZ_CFZB,ZXKSMC
110,1,1,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_RYDJB,ZYYSBH
98,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_CYDJB,CYKSBM
138,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_ZYYZMX,XDKSBM
83,1,1,0,4.0,1.0,3.0,0.34,0.12,TB_MZ_JZJL,ZZYSGH
9,1,1,0,4.0,0.0,2.0,0.05,0.0,TB_LIS_JYBG,BGRGH
140,1,1,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_ZYYZMX,XDRGH
128,1,0,0,4.0,4.0,4.0,0.0,0.0,TB_ZY_ZYJZJL,CYKSBM
46,1,1,0,4.0,0.0,3.0,0.01,0.0,TB_MZ_CFZB,JZKSDM
