table_name,column_name,data_type,nullable,primary_key,max,min,avg,stddev,varience
TB_LIS_JYBG,BGDH,1,0,0,12.0,12.0,12.0,0.0,0.0
TB_LIS_JYBG,BGRQ,1,0,0,8.0,8.0,8.0,0.0,0.0
TB_LIS_JYBG,BRXM,1,0,0,25.0,3.0,5.8,0.74,0.55
TB_LIS_JYBG,BRXB,1,0,0,1.0,1.0,1.0,0.0,0.0
TB_LIS_JYBG,BRNL,1,0,0,6.0,3.0,3.91,0.29,0.08
TB_LIS_JYBG,BQ,1,1,0,19.0,4.0,9.08,3.2,10.24
TB_LIS_JYBG,CH,1,1,0,5.0,1.0,1.94,0.55,0.3
TB_LIS_JYBG,SQRGH,1,0,0,5.0,4.0,4.0,0.02,0.0
TB_LIS_JYBG,SQRXM,1,0,0,6.0,4.0,5.68,0.73,0.53
TB_LIS_JYBG,BGRGH,1,0,0,5.0,4.0,4.0,0.02,0.0
TB_LIS_JYBG,BGRXM,1,0,0,6.0,4.0,5.68,0.73,0.53
TB_LIS_JYBG,SQKSMC,1,0,0,19.0,4.0,9.33,3.44,11.87
TB_LIS_JYBG,SQRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYBG,CJRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYBG,JYRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYBG,JYJSBH,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_LIS_JYBG,JYJSQM,1,0,0,8.0,4.0,5.86,0.96,0.92
TB_LIS_JYBG,JYYSBH,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_LIS_JYBG,JYYSQM,1,0,0,8.0,4.0,5.86,0.96,0.92
TB_LIS_JYBG,BBDM,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_LIS_JYBG,BBMC,1,0,0,10.0,4.0,4.04,0.45,0.2
TB_LIS_JYJGZB,BGRQ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_LIS_JYJGZB,JCRXM,1,0,0,8.0,4.0,5.99,0.99,0.98
TB_LIS_JYJGZB,JCZBDM,1,0,0,19.0,1.0,3.7,1.45,2.09
