,data_type,nullable,primary_key,max,min,avg,stddev,varience,table_name,column_name
27,2,0,0,695000000.0,-27.04,4080.13,1263346.0,1.59604311126e+12,TB_LIS_JYJGZB,JYDLJG
120,2,0,0,182811.83,0.0,8895.33,10183.2,103697641.75,TB_ZY_ZYJSB,ZFY
122,2,0,0,160653.18,0.0,6153.34,7644.53,58438842.6,TB_ZY_ZYJSB,YBZFJE
121,2,0,0,76364.1,-700.0,2694.4,4086.71,16701174.71,TB_ZY_ZYJSB,YBFWWZF
150,2,1,0,25000.0,-1.0,142.61,906.62,821961.66,TB_ZY_ZYYZMX,JL
94,2,0,0,17800.0,-5400.0,36.93,157.58,24830.8,TB_MZ_SFMXB,MXXMYSJE
79,2,0,0,17800.0,-2120.0,62.26,130.02,16904.8,TB_MZ_JSB,FYJSZJE
80,2,0,0,17800.0,-2120.0,62.26,130.02,16904.8,TB_MZ_JSB,SSJE
93,2,0,0,17800.0,-7755.0,6.24,56.23,3161.5,TB_MZ_SFMXB,MXXMSL
95,2,0,0,17800.0,-5400.0,53.83,176.66,31209.7,TB_MZ_SFMXB,MXXMSSJE
54,2,0,0,14318.85,0.0,84.54,146.17,21364.27,TB_MZ_CFZB,CFJE
151,2,1,0,2000.0,0.0,16.3,72.68,5282.01,TB_ZY_ZYYZMX,MCSL
152,2,1,0,1929.96,0.0,28.22,87.4,7639.46,TB_ZY_ZYYZMX,XMDJ
92,2,0,0,1824.0,0.0,34.96,60.07,3609.0,TB_MZ_SFMXB,MXXMDJ
29,1,0,0,240.0,1.0,7.68,10.77,115.98,TB_LIS_JYJGZB,CKZ
147,1,0,0,138.0,0.0,20.0,12.57,157.89,TB_ZY_ZYYZMX,YZSM
115,1,1,0,59.0,2.0,10.48,5.45,29.73,TB_ZY_RYDJB,RYZDMC
103,1,0,0,59.0,2.0,10.48,5.45,29.74,TB_ZY_CYDJB,CYZDMC
85,1,1,0,50.0,1.0,7.47,5.21,27.14,TB_MZ_JZJL,JZZDMC
26,1,0,0,44.0,1.0,10.98,4.42,19.53,TB_LIS_JYJGZB,JCZBMC
43,1,0,0,29.0,21.0,28.86,1.06,1.13,TB_MZ_CFZB,KH
58,1,0,0,29.0,21.0,28.94,0.71,0.51,TB_MZ_GHMXB,KH
39,1,0,0,29.0,21.0,28.77,1.35,1.82,TB_MZ_CFMX,KH
74,1,0,0,29.0,21.0,28.89,0.91,0.84,TB_MZ_JSB,KH
70,2,0,0,26.0,0.0,4.8,3.09,9.55,TB_MZ_GHMXB,GHF
2,1,0,0,25.0,3.0,5.8,0.74,0.55,TB_LIS_JYBG,BRXM
63,1,0,0,25.0,2.0,5.71,0.75,0.56,TB_MZ_GHMXB,XM
82,1,0,0,25.0,2.0,5.74,0.73,0.53,TB_MZ_JZJL,HZXM
51,1,0,0,25.0,2.0,5.73,0.73,0.53,TB_MZ_CFZB,HZXM
11,1,0,0,19.0,4.0,9.33,3.44,11.87,TB_LIS_JYBG,SQKSMC
25,1,0,0,19.0,1.0,3.7,1.45,2.09,TB_LIS_JYJGZB,JCZBDM
5,1,1,0,19.0,4.0,9.08,3.2,10.24,TB_LIS_JYBG,BQ
56,1,0,0,19.0,4.0,8.97,2.4,5.78,TB_MZ_CFZB,ZXKSMC
47,1,0,0,19.0,1.0,11.11,4.3,18.48,TB_MZ_CFZB,JZKSMC
67,1,0,0,19.0,1.0,11.19,3.4,11.53,TB_MZ_GHMXB,KSMC
35,1,0,0,18.0,1.0,9.14,2.96,8.78,TB_LIS_YMJG,YMMC
137,1,1,0,17.0,7.0,10.75,2.82,7.96,TB_ZY_ZYYZMX,BQ
139,1,0,0,15.0,4.0,7.68,2.84,8.09,TB_ZY_ZYYZMX,XDKSMC
106,1,0,0,15.0,4.0,5.83,0.58,0.34,TB_ZY_RYDJB,XM
129,1,0,0,15.0,4.0,7.67,2.86,8.21,TB_ZY_ZYJZJL,CYKSMC
113,1,0,0,15.0,4.0,7.79,2.97,8.8,TB_ZY_RYDJB,RYKSMC
135,1,0,0,15.0,4.0,5.83,0.58,0.34,TB_ZY_ZYYZMX,XM
99,1,0,0,15.0,4.0,7.67,2.86,8.16,TB_ZY_CYDJB,CYKSMC
127,1,0,0,15.0,4.0,7.79,2.97,8.84,TB_ZY_ZYJZJL,JZKSMC
84,1,0,0,15.0,1.0,6.13,2.22,4.93,TB_MZ_JZJL,JZZDBM
125,1,0,0,15.0,4.0,5.83,0.58,0.34,TB_ZY_ZYJZJL,HZXM
77,1,0,0,13.0,1.0,10.3,1.86,3.44,TB_MZ_JSB,JSFPH
0,1,0,0,12.0,12.0,12.0,0.0,0.0,TB_LIS_JYBG,BGDH
22,1,0,0,12.0,12.0,12.0,0.0,0.0,TB_LIS_JYJGZB,BGDH
32,1,0,0,12.0,12.0,12.0,0.0,0.0,TB_LIS_YMJG,BGDH
28,1,0,0,11.0,1.0,3.36,2.11,4.45,TB_LIS_JYJGZB,JYDLJGJSDW
30,1,1,0,11.0,1.0,3.36,2.11,4.45,TB_LIS_JYJGZB,JLDW
132,1,0,0,10.0,10.0,10.0,0.0,0.0,TB_ZY_ZYYZMX,YLJGDM
104,1,0,0,10.0,10.0,10.0,0.0,0.0,TB_ZY_RYDJB,YLJGDM
20,1,0,0,10.0,4.0,4.04,0.45,0.2,TB_LIS_JYBG,BBMC
96,1,0,0,10.0,10.0,10.0,0.0,0.0,TB_ZY_CYDJB,YLJGDM
117,1,0,0,10.0,10.0,10.0,0.0,0.0,TB_ZY_ZYJSB,YLJGDM
123,1,0,0,10.0,10.0,10.0,0.0,0.0,TB_ZY_ZYJZJL,YLJGDM
1,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_LIS_JYBG,BGRQ
37,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_CFMX,CFH
21,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_LIS_JYJGZB,JYZBLSH
16,1,0,0,8.0,4.0,5.86,0.96,0.92,TB_LIS_JYBG,JYJSQM
69,1,0,0,8.0,1.0,4.7,2.0,4.0,TB_MZ_GHMXB,GHYSXM
31,1,0,0,8.0,2.0,5.43,1.11,1.24,TB_LIS_JYJGZB,SBBM
41,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_CFZB,CFH
133,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_ZY_ZYYZMX,YZMXID
49,1,0,0,8.0,1.0,5.46,1.22,1.48,TB_MZ_CFZB,KFYSXM
18,1,0,0,8.0,4.0,5.86,0.96,0.92,TB_LIS_JYBG,JYYSQM
91,1,0,0,8.0,4.0,5.96,0.37,0.14,TB_MZ_SFMXB,MXXMMC
53,1,0,0,8.0,4.0,5.37,1.9,3.6,TB_MZ_CFZB,FB
24,1,0,0,8.0,4.0,5.99,0.99,0.98,TB_LIS_JYJGZB,JCRXM
119,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_ZYJSB,STFSJ
87,3,1,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JZJL,FBRQSJ
88,1,0,0,7.0,1.0,7.0,0.08,0.01,TB_MZ_SFMXB,JZLSH
89,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_SFMXB,SFJSSJ
81,1,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JZJL,JZLSH
23,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_LIS_JYJGZB,BGRQ
14,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_LIS_JYBG,JYRQ
76,1,0,0,7.0,1.0,7.0,0.1,0.01,TB_MZ_JSB,JZLSH
78,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_JSB,FYJSSJ
102,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_ZY_CYDJB,CYSJ
50,3,0,0,7.0,7.0,7.0,0.0,0.0,TB_MZ_CFZB,KFRQ
