table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
view_inspec_general_info,inspec_no,2,10,4,0.0,0,0,8001.0,1.0,112.0,688.38,473869.23
inspec_general_info_history,input_date,1,20,20,,0,0,10.0,10.0,10.0,0.0,0.0
view_inspec_general_info,p_name,1,40,40,,1,0,8.0,4.0,5.0,0.54,0.29
view_inspec_general_info,sex,1,8,8,,1,0,2.0,0.0,1.0,0.12,0.01
view_inspec_general_info,age,1,8,8,,1,0,2.0,0.0,1.0,0.35,0.12
view_inspec_general_info,section,1,20,20,,1,0,8.0,0.0,5.0,1.08,1.16
view_inspec_general_info,bedno,1,8,8,,1,0,3.0,0.0,2.0,1.37,1.88
inspec_general_info_history,request_no,1,16,16,,1,0,13.0,0.0,12.0,1.99,3.96
inspec_general_info_history,doc_request,1,20,20,,1,0,14.0,0.0,5.0,2.09,4.38
inspec_general_info_history,doc_check,1,20,20,,1,0,4.0,0.0,2.0,0.05,0.0
inspec_general_info_history,doc_inspec,1,20,20,,1,0,10.0,0.0,5.0,1.21,1.45
view_inspec_general_info,section,1,20,20,,1,0,8.0,0.0,5.0,1.08,1.16
inspec_general_info_history,time_request,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
inspec_general_info_history,time_sample_collect,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
inspec_general_info_history,input_date,1,20,20,,0,0,10.0,10.0,10.0,0.0,0.0
inspec_general_info_history,doc_check,1,20,20,,1,0,4.0,0.0,2.0,0.05,0.0
inspec_general_info_history,doc_inspec,1,20,20,,1,0,10.0,0.0,5.0,1.21,1.45
inspec_general_info_history,doc_check,1,20,20,,1,0,4.0,0.0,2.0,0.05,0.0
inspec_general_info_history,doc_inspec,1,20,20,,1,0,10.0,0.0,5.0,1.21,1.45
inspec_general_info_history,sample_barcode,1,20,20,,1,0,13.0,0.0,1.0,3.9,15.2
inspec_general_info_history,sample_name,1,20,20,,1,0,10.0,0.0,4.0,0.81,0.66
