table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
h_cfzk,h_cfh,1,12,12,,0,0,12.0,12.0,12.0,0.0,0.0
h_cfzk,m_ghxh,1,11,11,,1,0,9.0,0.0,7.0,0.72,0.52
RS_ResidentInfo,JKKH,1,10,10,,1,0,8.0,8.0,8.0,0.0,0.0
RS_ResidentInfo,TYPE,1,2,2,,0,0,2.0,2.0,2.0,0.0,0.0
h_cfzk,h_lxbm,1,2,2,,1,0,2.0,1.0,1.0,0.34,0.12
h_cfzk,ksbm,1,5,5,,1,0,4.0,0.0,3.0,0.01,0.0
h_cfzk,ksbm,1,5,5,,1,0,4.0,0.0,3.0,0.01,0.0
h_cfzk,ysbm,1,5,5,,1,0,5.0,0.0,4.0,0.44,0.2
h_cfzk,ysbm,1,5,5,,1,0,5.0,0.0,4.0,0.44,0.2
h_cfzk,h_cfrq,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
RS_ResidentInfo,XM,1,50,50,,1,0,40.0,1.0,5.0,0.69,0.47
RS_ResidentInfo,XB,1,1,1,,1,0,1.0,1.0,1.0,0.0,0.0
h_cfzk,fylb,1,4,4,,1,0,2.0,1.0,1.0,0.5,0.25
h_cfzk,h_cfhj,2,10,12,2.0,0,0,72640.0,-72000.0,87.0,251.11,63056.39
h_cfzk,zxks,1,4,4,,1,0,4.0,0.0,3.0,0.52,0.27
h_cfzk,zxks,1,4,4,,1,0,4.0,0.0,3.0,0.52,0.27
