table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_RYJL,YLJGZZJGDM,1,20,20,,1,0,12.0,12.0,12.0,0.0,0.0
EMR_RYJL,ZYH,1,10,10,,0,0,8.0,8.0,8.0,0.0,0.0
EMR_RYJL,XM,1,50,50,,1,0,10.0,4.0,5.0,0.66,0.44
EMR_RYJL,XB,1,1,1,,1,0,1.0,1.0,1.0,0.0,0.0
EMR_RYJL,JZYSGH,1,50,50,,1,0,4.0,4.0,4.0,0.0,0.0
EMR_RYJL,JZYSQM,1,20,20,,1,0,8.0,4.0,6.0,1.3,1.69
EMR_RYJL,ZYYSGH,1,50,50,,1,0,4.0,4.0,4.0,0.0,0.0
EMR_RYJL,ZYYSQM,1,20,20,,1,0,8.0,4.0,6.0,1.3,1.69
EMR_RYJL,KSDM,1,4,4,,0,0,4.0,4.0,4.0,0.0,0.0
EMR_RYJL,BQMC,1,20,20,,1,0,6.0,4.0,5.0,0.49,0.24
EMR_ZYZD,ZYZD_JBBM,1,16,16,,1,0,8.0,2.0,6.0,0.85,0.72
EMR_ZYZD,ZYZDMC,1,50,50,,1,0,46.0,2.0,15.0,7.49,56.16
EMR_RYJL,RYRQSJ,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
