table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
z_brfy,z_bah,1.0,10,10,,0,0,8.0,8.0,8.0,0.0,0.0
z_brfy,z_sfrq,3.0,23,16,3.0,0,0,8.0,8.0,8.0,0.0,0.0
z_brfy,ksbm,1.0,4,4,,1,0,4.0,4.0,4.0,0.0,0.0
ksbmk,ksmc,1.0,20,20,,1,0,14.0,4.0,7.0,2.28,5.21
z_brfy,ysbm,1.0,4,4,,0,0,4.0,4.0,4.0,0.0,0.0
czyk,czymc,1.0,20,20,,0,0,8.0,3.0,6.0,1.27,1.62
z_brfy,fylb,1.0,2,2,,0,0,2.0,2.0,2.0,0.0,0.0
EMR_ZY_FYMX,XMDM_HIS,1.0,10,10,,0,0,10.0,10.0,10.0,0.0,0.0
EMR_ZY_FYMX,XMMC_HIS,1.0,100,100,,1,0,100.0,4.0,15.0,8.2,67.31
EMR_ZY_FYMX,XMDJ,2.0,10,12,4.0,0,0,8800.0,0.0,17.0,72.72,5287.59
EMR_ZY_FYMX,XMSL,2.0,8,10,2.0,0,0,500.0,0.0,2.0,6.14,37.7
EMR_ZY_FYMX,XMJE,2.0,8,10,2.0,0,0,8800.0,0.0,25.0,82.39,6787.71
EMR_ZY_FYMX,XMJE,2.0,8,10,2.0,0,0,8800.0,0.0,25.0,82.39,6787.71
