table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_ZYYZ,YLJGZZJGDM,1.0,20,20,,1,0,12.0,12.0,12.0,0.0,0.0
EMR_ZYYZ,YZBH,1.0,28,28,,1,0,15.0,14.0,14.0,0.43,0.19
EMR_ZYYZ,ZYH,1.0,10,10,,0,0,8.0,8.0,8.0,0.0,0.0
EMR_ZYYZ,XM,1.0,50,50,,1,0,10.0,4.0,5.0,0.61,0.38
EMR_ZYYZ,XB,1.0,1,1,,1,0,1.0,1.0,1.0,0.0,0.0
EMR_ZYYZ,BQMC,1.0,20,20,,1,0,6.0,4.0,5.0,0.55,0.3
EMR_ZYYZ,KSDM,1.0,4,4,,0,0,4.0,4.0,4.0,0.0,0.0
EMR_ZYYZ,KSMC,1.0,20,20,,1,0,6.0,4.0,5.0,0.55,0.3
EMR_ZYYZ,YZKLZGH,1.0,8,8,,1,0,4.0,4.0,4.0,0.0,0.0
EMR_ZYYZ,YZKLZQM,1.0,20,20,,1,0,6.0,4.0,5.0,0.4,0.16
EMR_ZYYZ,YZKLRQSJ,3.0,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
EMR_ZYYZ,ZXYZZGH,1.0,8,8,,1,0,4.0,0.0,3.0,0.26,0.07
EMR_ZYYZ,ZXYZZQM,1.0,20,20,,1,0,7.0,4.0,5.0,0.57,0.33
EMR_ZYYZ,YZZXRQSJ,3.0,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
EMR_ZYYZ,YZTZRQSJ,3.0,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
z_yz,yzlr,,2147483647,2147483647,,0,0,138.0,0.0,20.0,12.57,157.89
EMR_ZYZD,ZDLX,1.0,1,1,,0,0,1.0,1.0,1.0,0.0,0.0
z_yz,pcms,1.0,16,16,,1,0,16.0,0.0,11.0,7.37,54.35
z_yz,jl,2.0,18,20,4.0,0,0,5000.0,0.0,47.0,187.15,35025.67
z_yz,dwsl,2.0,10,4,0.0,1,0,1.0,1.0,1.0,0.0,0.0
z_yz,dj,2.0,12,14,4.0,0,0,900.0,0.0,12.0,42.5,1806.42
